	Actinomarinales1	Alpha1	Alpha10	Alpha12	Alpha13	Alpha14	Alpha15	Alpha16	Alpha2	Alpha3	Alpha4	Alpha5	Alpha6	Alpha7	Alpha8	Alpha9	Delta1	Delta11	Delta12	Delta13	Delta14	Delta2	Delta3	Delta4	Delta5	Gamma1	Gamma2	Gamma3	Gamma4	Gamma5	Gamma7	Marinimicrobia1	Spiro1
Iaduncosetis	0	0	0.14757504388728	0.24112129825009	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.077019339835062	0	0	0.53428431802757	0	0	0	0	0	0	0
IdutchaeA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0094533180383089	0	0.02100401145706	0	0	0	0	0.21639691346169	0	0.57935332240317	0	0.014756134247205	0	0	0	0	0.15903630039257
IdutchaeB	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0080718605927177	0	0.022764443485586	0	0	0	0	0.19765327378865	0	0.52149646499586	0	0.066616727046544	0	0	0	0	0.18339723009065
Iexumae	0	0	0	0.11211111291162	0.11506027963339	0	0	0	0	0.068812151264226	0	0	0	0	0	0	0	0	0	0	0	0	0.23181752511847	0	0	0	0	0	0.47219893107229	0	0	0	0
Ileukodermatus	0	0.010906936782186	0.20184595041354	0.062781185980772	0	0.0011209434183574	0	0	0.020620871916901	0.10531493660646	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.53300146899943	0	0	0	0.064407705882353	0	0	0
Imakropetalos	0	0	0.48407369519189	0.15691276731409	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.35901353749402	0	0	0	0	0	0	0
Imanae	0	0	0.097168979267338	0	0	0	0	0	0	0.10159998012447	0	0.28541260357014	0	0	0	0	0	0	0	0	0	0	0	0	0	0.51581843703805	0	0	0	0	0	0	0
Imojicae	0	0.33719935566965	0.20446241300259	0.043934456065544	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.41440377526222	0	0	0	0	0	0	0
Ireginae	0	0	0.25509336082686	0.16830657863683	0	0	0	0	0	0.05768303991454	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.51891702062177	0	0	0	0	0	0	0
Iscalprum	0	0.036434	0.2907656	0.170054	0	0	0	0	0	0	0	0	0	0	0	0	0.0644054	0	0	0	0	0	0.0122716	0	0	0.4260694	0	0	0	0	0	0	0
IspFANT	0	0	0.19692323596422	0	0	0.028979157880534	0	0	0	0.15485047119962	0.11547294734422	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5037741876114	0	0	0	0	0	0	0
IspNYSP	0	0	0.29686387500652	0.17844375401042	0	0	0	0	0	0.11729459426854	0	0.056060590234765	0	0	0	0	0	0	0	0	0	0	0	0	0	0.35133718647975	0	0	0	0	0	0	0
IspULE	0	0	0.38773222378567	0	0	0	0	0	0	0	0	0.15631284015326	0	0.079210005511981	0	0	0.023740710614036	0	0	0	0	0	0	0	0	0.33761542765122	0	0	0	0.015388792283829	0	0	0
Ispguadeloupe1	0	0	0.24684356747804	0.36222201177649	0	0	0	0	0	0	0	0.023534634506768	0	0	0	0	0	0	0	0	0	0	0	0	0	0.36739978623871	0	0	0	0	0	0	0
Itriangulatus	0	0	0.1539695	0	0	0	0	0	0	0.374764	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4712665	0	0	0	0	0	0	0
Iwasseri	0	0	0.66422504785754	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.32982385787117	0	0	0	0	0	0	0.0059510942712879
Oalbidus	0	0	0	0	0	0	0	0	0	0.20489587205113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.72985865422385	0	0	0	0	0	0	0.065245473725026
Oalgarvensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.053393180082698	0	0	0.017678933333333	0	0	0.019406530025837	0.13183563442916	0	0.45891955471932	0	0.23665570669677	0	0	0	0	0.082110460712881
Oclavatus	0.21015708154058	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.16695708412808	0	0	0	0	0	0	0	0.62288583433133	0	0	0	0	0	0	0
Ocrassitunicatus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.046953308825406	0	0	0	1.375e-05	0.14400719008662	0	0	0.069216536305943	0.38963836911173	0.18512909744924	0	0	0	0	0	0.16504174822106
Ofaris	0	0	0.0058476363636364	0	0	0	0	0	0	0.4058209328478	0	0	0	0	0	0	0.013009441536013	0	0	0	0	0	0.052897364692816	0	0	0.52242462455974	0	0	0	0	0	0	0
Ofilicauda	0	0	0	0.5692752001293	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.061663461205539	0	0.36906133866516	0	0	0	0	0	0	0
Ofilithecatus	0	0	0.58631547313618	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.39959055528348	0	0	0	0	0	0	0.014093971580339
Ofinitimus	0	0	0	0.097499402500597	0	0	0	0	0	0	0	0	0	0.052069774499787	0	0	0.022450868429139	0	0	0	0	0	0	0.30361359690434	0	0.52436635766614	0	0	0	0	0	0	0
Ofurinus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.35355944294937	0	0	0	0	0	0	0	0.64644055705063	0	0	0	0	0	0	0
Ogeniculatus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.11447680163224	0	0	0	0	0	0	0	0	0.88552319836776	0	0	0	0	0	0	0
Oilvae	0	0	0	0	0	0	0	0	0	0	0	0.0049667976135026	0	0.11091621015527	0	0	0.11487137797883	0	0	0	0	0	0.19724259948573	0.015725807150746	0	0.50923897555198	0	0.047038232063937	0	0	0	0	0
Oimperfectus	0	0	0.32284893770964	0	0	0	0	0	0	0.1844894	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.49266166229036	0	0	0	0	0	0	0
OlongissimusB	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.15852280686028	0	0	0.68019067541031	0	0	0	0	0	0	0.16128651772941
Onivalis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.360682	0	0	0	0	0	0	0	0.285592	0	0	0	0	0	0	0.353726
Onralgarvensis	0	0	0	0	0	0	0	0	0	0	0	0.253825	0	0.034508	0	0	0.071911	0	0	0	0	0	0	0	0	0.639756	0	0	0	0	0	0	0
Onravisceralis	0	0	0	0	0	0	0	0	0	0.636674	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.363326	0	0	0	0	0	0	0
Onrfaris	0	0	0	0	0	0	0	0	0	0	0	0.45835624269123	0	0	0	0	0.1701779475945	0	0	0	0	0	0	0	0	0.37146580971427	0	0	0	0	0	0	0
Onrloisae	0	0	0	0	0	0	0	0	0	0.35571115290848	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.60001761599028	0	0	0	0	0	0	0.044271231101238
Onrtenuissimus	0	0	0	0	0	0	0	0	0	0	0	0	0	0.051851457887566	0	0	0.015114818618085	0	0	0	0	0	0	0.16363545242177	0	0.76939827107258	0	0	0	0	0	0	0
Oprodigus	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4582865	0	0	0	0	0	0	0	0	0	0	0	0.5417135	0	0	0	0	0	0	0
Osp11	0	0	0	0.451882	0	0	0	0	0	0	0	0	0	0	0	0	0.0585805	0	0	0	0	0	0	0.100841	0	0.3886965	0	0	0	0	0	0	0
Osp66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.42307195735471	0	0	0	0	0	0	0	0.49147006755234	0	0	0	0	0	0	0.085457975092947
OspCAPE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.010644471577002	0	0.82099258988552	0	0.16836293853747	0	0	0	0	0
OspDARISL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.35066	0	0	0	0	0	0	0	0.495912	0	0.153428	0	0	0	0	0
OspFALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.30763485723958	0	0	0	0	0	0	0	0.60857546103768	0	0	0	0	0	0	0.083789681722732
OspFILI	0	0	0	0	0	0	0	0.04504918957961	0	0	0	0	0	0	0	0	0	0	0	0	0.11986362259156	0	0	0	0	0.25189424824554	0	0	0	0	0.58319293958329	0	0
OspHEAD	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.858265	0	0.141735	0	0	0	0	0
OspLEES	0	0	0	0.38262166705329	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.61737833294671	0	0	0	0	0	0	0
OspOTHER	0	0	0.1249245	0.711942	0	0	0	0	0	0	0	0.1631335	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OspTT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.422538	0	0.577462	0	0	0	0	0	0	0
OspWHICH	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.231794	0	0	0.768206	0	0	0	0	0	0	0
Ospbahamas1	0	0	0	0.618697	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.381303	0	0	0	0	0	0	0
Ospbelize1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.12041966666667	0	0	0.85940233333333	0	0	0	0	0	0	0.020178
Ospcanary1	0	0	0	0	0	0.32770053739585	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.33102947460106	0	0	0.27142804318888	0	0	0	0	0	0	0.069841944814212
Ospdahab1	0	0.00010864853998441	0.13630269005904	0.030541370124209	8.4881647035198e-05	0	0	0	0	0.0062196931579308	0	0	0	0	0.15240256699669	0.026269565121757	0.015876327737415	0	0	0	0	0	0	0	0	0.56558783852379	0	0	0	0	0	0	0.066606418092149
Ospheron1	0	0	0	0	0	0	0	0	0	0	0	0.274179	0	0	0	0	0	0	0	0	0	0	0	0.212405	0	0.433833	0	0	0	0	0	0	0.079583
Ospheron3	0.506967	0	0	0	0	0	0.013921	0	0	0	0	0	0	0	0	0	0	0.293015	0	0	0	0	0	0	0	0.143569	0	0	0	0	0	0.042528	0
Ospheron4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.35969496148088	0	0	0	0	0	0	0	0	0.64030503851912	0	0	0	0	0	0	0
Ospheron5	0.059189059189059	0	0	0	0	0	0.078973049863029	0	0	0	0	0	0	0	0	0	0	0.37916739727002	0	0	0	0	0	0	0	0.21062810090666	0	0	0	0	0	0.27204239277123	0
Ospnorthcarolina1	0	0	0.41945242362103	0	0	0	0	0	0	0.26240411563338	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.31814346074558	0	0	0	0	0	0	0
Ospoahu1	0	0	0	0	0	0	0	0	0	0	0	0.72233955784503	0	0	0	0	0	0	0	0	0	0	0.053864205480432	0.09843886384775	0	0.074598268584102	0	0	0	0	0	0	0.050759104242684
Ospokinawa1	0	0	0.25492843418308	0	0	0	0	0	0	0.145892	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5826870614757	0	0	0	0	0	0	0.016492504341214
Ospokinawa2	0	0	0	0	0	0	0	0	0	0	0	0	0	0.13303133333333	0	0	0	0	0	0	0	0	0	0	0	0.80987333925865	0	0	0	0	0	0	0.05709532740802
Otantulus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25748702593679	0	0	0.74251297406321	0	0	0	0	0	0	0
Otenuissimus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.081682335099719	0	0	0	0	0	0	0.31419285880365	0	0.60412480609663	0	0	0	0	0	0	0
Oullae	0	0	0	0	0	0	0	0	0	0	0	0	0.416491	0	0	0	0	0	0	0	0	0	0	0	0	0.583509	0	0	0	0	0	0	0
Ovacuus	0	0	0	0	0	0	0	0	0	0	0	0	0.364356	0	0	0	0	0	0	0	0	0	0	0	0	0.635644	0	0	0	0	0	0	0
Ozimmermannae	0	0	0.55444872734951	0.22552052746831	0	0	0	0	0	0.00080874659970705	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01030654948734	0	0	0	0.20891544909514	0	0	0
