organism;min;max;median;sym_species
Actinomarinales1;-342;-13.3;-112.7;3
Alpha1;-835.2;-53.6;-326.9;4
Alpha10;-436.6;-14.6;-132.5;21
Alpha12;-1026.5;-77.7;-414.9;17
Alpha13;-144;-3;-41.5;2
Alpha14;-1065.7;-91.3;-458;3
Alpha15;-190.3;-6.3;-60.2;2
Alpha16;-90.8;-0.6;-21.8;1
Alpha2;-36.9;0;-5.5;1
Alpha3;-491.7;-22.4;-175.2;16
Alpha4;-86.9;-0.4;-19.9;1
Alpha5;-1224.8;-106.1;-523.1;10
Alpha6;-267.4;-9.4;-86.6;2
Alpha7;-406.7;-17.1;-131.1;7
Alpha8;-37.6;0;-5.5;1
Alpha9;-38.9;0;-5.6;1
Delta1;-1161;-266.6;-650.1;17
Delta11;-695.3;-62.3;-296.8;8
Delta12;-213.8;-6.5;-66.9;2
Delta13;-55;0;-10.7;1
Delta14;-200.1;-9.2;-69.9;2
Delta2;-88.2;-0.8;-21.8;1
Delta3;-380.9;-16.1;-124;12
Delta4;-234.6;-15.5;-91.9;13
Delta5;-32.3;0;-4.6;1
Gamma1;-1393.7;-73;-514.9;62
Gamma2;-55.3;0;-10.9;1
Gamma3;-723.4;-60.4;-307.7;7
Gamma4;-100;-0.8;-24.5;1
Gamma5;-602.5;-58.7;-270.2;3
Gamma7;-96.3;-1;-23.3;1
host;-422.7252;-97.1542;-256.131;
Marinimicrobia1;-330;-12.2;-105.1;2
Spiro1;-860.8;-76.7;-360.7;19